day,interval,detid,flow,occ,error,city,speed
2017-09-21,14400,PGR01_101724_G181_Hoendiep_O_ID_8648_1,48.0,1.066930171278,,groningen,44.9888861447271
2017-09-21,14700,PGR01_101724_G181_Hoendiep_O_ID_8648_1,60.0,1.2481599713056,,groningen,48.0707612640702
2017-09-21,15000,PGR01_101724_G181_Hoendiep_O_ID_8648_1,96.0,2.3692040357028,,groningen,40.5199377315439
2017-09-21,15300,PGR01_101724_G181_Hoendiep_O_ID_8648_1,60.0,1.24672667757774,,groningen,48.1260255989498
2017-09-21,15600,PGR01_101724_G181_Hoendiep_O_ID_8648_1,48.0,1.03568090604211,,groningen,46.3463212655271
2017-09-21,15900,PGR01_101724_G181_Hoendiep_O_ID_8648_1,60.0,1.31548619447779,,groningen,45.6105128673116
2017-09-21,16200,PGR01_101724_G181_Hoendiep_O_ID_8648_1,72.0,1.46069741864527,,groningen,49.2915227212331
2017-09-21,16500,PGR01_101724_G181_Hoendiep_O_ID_8648_1,132.0,2.88025551684088,,groningen,45.8292673091657
2017-09-21,16800,PGR01_101724_G181_Hoendiep_O_ID_8648_1,180.0,4.06172940534643,,groningen,44.3160983996293
2017-09-21,17100,PGR01_101724_G181_Hoendiep_O_ID_8648_1,132.0,2.74526301624331,,groningen,48.0828245668907
2017-09-21,17400,PGR01_101724_G181_Hoendiep_O_ID_8648_1,132.0,3.1043956043956,,groningen,42.5203539823009
2017-09-21,17700,PGR01_101724_G181_Hoendiep_O_ID_8648_1,84.0,1.66515736405577,,groningen,50.4456826803467
2017-09-21,18000,PGR01_101724_G181_Hoendiep_O_ID_8648_1,240.0,4.80167366398634,,groningen,49.9825720769105
2017-09-21,18300,PGR01_101724_G181_Hoendiep_O_ID_8648_1,156.0,3.0947735901203,,groningen,50.4075647078067
2017-09-21,18600,PGR01_101724_G181_Hoendiep_O_ID_8648_1,192.0,4.23991125270224,,groningen,45.2839667051125
2017-09-21,18900,PGR01_101724_G181_Hoendiep_O_ID_8648_1,228.0,4.90165077888863,,groningen,46.5149416563893
2017-09-21,19200,PGR01_101724_G181_Hoendiep_O_ID_8648_1,324.0,7.16629051620648,,groningen,45.2116753105777
2017-09-21,19500,PGR01_101724_G181_Hoendiep_O_ID_8648_1,156.0,3.03398195112311,,groningen,51.4175768060361
2017-09-21,19800,PGR01_101724_G181_Hoendiep_O_ID_8648_1,336.0,7.05524822695035,,groningen,47.6241216739211
2017-09-21,20100,PGR01_101724_G181_Hoendiep_O_ID_8648_1,396.0,8.71188861796765,,groningen,45.4551265937076
2017-09-21,20400,PGR01_101724_G181_Hoendiep_O_ID_8648_1,396.0,8.83081803362029,,groningen,44.8429577523132
2017-09-21,20700,PGR01_101724_G181_Hoendiep_O_ID_8648_1,420.0,9.31818238803759,,groningen,45.0731679752463
2017-09-21,21000,PGR01_101724_G181_Hoendiep_O_ID_8648_1,384.0,8.2302309891287,,groningen,46.6572567048513
2017-09-21,21300,PGR01_101724_G181_Hoendiep_O_ID_8648_1,432.0,8.87755599881846,,groningen,48.6620416765038
2017-09-21,21600,PGR01_101724_G181_Hoendiep_O_ID_8648_1,444.0,9.81065983705735,,groningen,45.256894783254
